id	sid	target	pos	sense	gloss	sentence	hw	lemma
interest.n_1	0004	interest	n	interest.n.01	a sense of concern with and curiosity about someone or something	`` Only a relative handful of such reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the size of this city '' .	only a relative handful of such report be receive the jury say consider the widespread interest in the election the number of voter and the size of this city	only_R a_D relative_J handful_N of_I such_J report_N be_V receive_V the_D jury_N say_V consider_V the_D widespread_J interest_N in_I the_D election_N the_D number_N of_I voter_N and_C the_D size_N of_R this_R city_N
find.v_1	0005	find	v	rule.v.04	decide on and make a declaration about	The jury said it did find that many of Georgia 's registration and election laws `` are outmoded or inadequate and often ambiguous '' .	the jury say it do find that many of georgia 's registration and election law be outmoded or inadequate and often ambiguous	the_D jury_N say_V it_P do_V find_V that_I many_J of_J georgia_N 's_P registration_N and_C election_N law_N be_V outmoded_J or_C inadequate_J and_C often_R ambiguous_J
interest.n_2	0007	interest	n	sake.n.01	a reason for wanting something done	The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .	the grand jury comment on a number of other topic among them the atlanta and fulton county purchasing department which it say be well operate and follow generally accepted practice which inure to the best interest of both government	the_D grand_N jury_N comment_V on_V a_J number_N of_J other_J topic_N among_I them_P the_D atlanta_N and_C fulton_N county_N purchasing_N department_N which_W it_P say_V be_V well_R operate_V and_C follow_V generally_R accepted_J practice_N which_W inure_V to_T the_D best_J interest_N of_I both_D government_N
find.v_2	0019	find	v	determine.v.01	establish after a calculation, investigation, experiment, survey, or study	The jury said it found the court `` has incorporated into its operating procedures the recommendations '' of two previous grand juries , the Atlanta Bar Association and an interim citizens committee .	the jury say it find the court have incorporate into its operating procedure the recommendation of two previous grand jury the atlanta bar association and an interim citizen committee	the_D jury_N say_V it_P find_V the_D court_N have_V incorporate_V into_I its_P operating_N procedure_N the_D recommendation_N of_I two_J previous_J grand_N jury_N the_D atlanta_N bar_N association_N and_C an_D interim_J citizen_N committee_N
suit.n_1	0027	suit	n	lawsuit.n.01	a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy	Mayor William B. Hartsfield filed suit for divorce from his wife , Pearl Williams Hartsfield , in Fulton Superior Court Friday .	mayor william b. hartsfield file suit for divorce from his wife pearl williams hartsfield in fulton superior court friday	mayor_N william_N b._N hartsfield_N file_V suit_N for_I divorce_N from_I his_P wife_N pearl_N williams_N hartsfield_N in_I fulton_N superior_N court_N friday_N
run.v_1	0040	run	v	campaign.v.01	run, stand, or compete for an office or a position	He will be succeeded by Ivan Allen Jr. , who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection .	he will be succeed by ivan allen jr. who become a candidate in the sept. 13 primary after mayor hartsfield announce that he would not run for reelection	he_P will_M be_V succeed_V by_I ivan_N allen_N jr._N who_W become_V a_D candidate_N in_I the_D sept._N 13_C primary_N after_I mayor_N hartsfield_N announce_V that_I he_P would_M not_R run_V for_V reelection_N
open.v_1	0061	open	v	open.v.02	start to operate or function or cause to start operating or functioning	Vandiver opened his race for governor in 1958 with a battle in the Legislature against the issuance of $ 50 million worth of additional rural roads bonds proposed by then Gov. Marvin Griffin .	vandiver open his race for governor in 1958 with a battle in the legislature against the issuance of 50 million worth of additional rural road bond propose by then gov. marvin griffin	vandiver_N open_V his_P race_N for_I governor_N in_I 1958_C with_I a_D battle_N in_I the_D legislature_N against_I the_D issuance_N of_I 50_J million_N worth_N of_I additional_J rural_J road_N bond_N propose_V by_I then_J gov._N marvin_N griffin_N
bank.n_1	0098	bank	n	depository_financial_institution.n.01	a financial institution that accepts deposits and channels the money into lending activities	The bill , which Daniel said he drafted personally , would force banks , insurance firms , pipeline companies and other corporations to report such property to the state treasurer .	the bill which daniel say he draft personally would force bank insurance firm pipeline company and other corporation to report such property to the state treasurer	the_D bill_N which_W daniel_N say_V he_P draft_V personally_R would_M force_V bank_N insurance_N firm_N pipeline_N company_N and_C other_J corporation_N to_T report_V such_J property_N to_T the_D state_N treasurer_N
bank.n_2	0100	bank	n	depository_financial_institution.n.01	a financial institution that accepts deposits and channels the money into lending activities	Dewey Lawrence , a Tyler lawyer representing the Texas Bankers Association , sounded the opposition keynote when he said it would force banks to violate their contractual obligations with depositors and undermine the confidence of bank customers .	dewey lawrence a tyler lawyer represent the texas bankers association sound the opposition keynote when he say it would force bank to violate their contractual obligation with depositor and undermine the confidence of bank customer	dewey_N lawrence_N a_D tyler_N lawyer_N represent_V the_D texas_N bankers_N association_N sound_V the_D opposition_N keynote_N when_W he_P say_V it_P would_M force_V bank_N to_T violate_V their_P contractual_J obligation_N with_I depositor_N and_C undermine_V the_D confidence_N of_I bank_N customer_N
bank.n_3	0101	bank	n	depository_financial_institution.n.01	a financial institution that accepts deposits and channels the money into lending activities	`` If you destroy confidence in banks , you do something to the economy '' , he said .	if you destroy confidence in bank you do something to the economy he say	if_I you_P destroy_V confidence_N in_I bank_N you_P do_V something_V to_T the_D economy_N he_P say_V
bank.n_4	0103	bank	n	depository_financial_institution.n.01	a financial institution that accepts deposits and channels the money into lending activities	Rep. Charles E. Hughes of Sherman , sponsor of the bill , said a failure to enact it would `` amount to making a gift out of the taxpayers ' pockets to banks , insurance and pipeline companies '' .	rep. charles e. hughes of sherman sponsor of the bill say a failure to enact it would amount to make a gift out of the taxpayer pocket to bank insurance and pipeline company	rep._N charles_N e._N hughes_N of_I sherman_N sponsor_N of_I the_D bill_N say_V a_D failure_N to_T enact_V it_P would_M amount_V to_V make_V a_D gift_N out_I of_I the_D taxpayer_N pocket_N to_T bank_N insurance_N and_C pipeline_N company_N
capital.n_1	0111	capital	n	capital.n.01	assets available for use in the production of further assets	Operating budget for the day schools in the five counties of Dallas , Harris , Bexar , Tarrant and El Paso would be $ 451500 , which would be a savings of $ 157460 yearly after the first year 's capital outlay of $ 88000 was absorbed , Parkhouse told the Senate .	operating budget for the day school in the five county of dallas harris bexar tarrant and el paso would be 451500 which would be a saving of 157460 yearly after the first year 's capital outlay of 88000 be absorb parkhouse tell the senate	operating_N budget_N for_I the_D day_N school_N in_I the_D five_J county_N of_I dallas_N harris_N bexar_N tarrant_N and_C el_N paso_N would_M be_V 451500_C which_W would_M be_V a_D saving_N of_I 157460_C yearly_J after_I the_D first_J year_N 's_P capital_N outlay_N of_I 88000_C be_V absorb_V parkhouse_N tell_V the_D senate_N
run.v_2	0262	run	v	run.v.19	carry out a process or program, as on a computer or a machine	Although he never gets to play while the clock is running , he gets a big kick - several every Saturday , in fact - out of football .	although he never get to play while the clock be run he get a big kick several every saturday in fact out of football	although_I he_P never_R get_V to_V play_V while_I the_D clock_N be_V run_V he_P get_V a_D big_J kick_N several_J every_D saturday_N in_R fact_R out_I of_I football_N
run.v_3	0265	run	v	prevail.v.03	continue to exist	He ran his string of successful conversions this season to 13 straight before one went astray last Saturday night in the 41 - 8 slaughter of Washington State .	he run his string of successful conversion this season to 13 straight before one go astray last saturday night in the 41 8 slaughter of washington state	he_P run_V his_P string_N of_I successful_J conversion_N this_D season_N to_T 13_J straight_J before_I one_C go_V astray_R last_J saturday_N night_N in_I the_D 41_C 8_J slaughter_N of_I washington_N state_N
run.v_4	0323	run	v	run.v.01	move fast by using one's feet, with one foot off the ground at any given time	`` He 's looking a lot better , and he 's able to run '' , Meek explained .	he 's look a lot good and he 's able to run meek explain	he_P 's_V look_V a_R lot_R good_J and_C he_P 's_V able_J to_T run_V meek_N explain_V
run.v_5	0325	run	v	run.v.01	move fast by using one's feet, with one foot off the ground at any given time	The game players saw the Air Force film Monday , ran for 30 minutes , then went in , while the reserves scrimmaged for 45 minutes .	the game player saw the air force film monday run for 30 minute then go in while the reserve scrimmage for 45 minute	the_D game_N player_N saw_V the_D air_N force_N film_N monday_N run_V for_V 30_N minute_N then_R go_V in_R while_I the_D reserve_N scrimmage_V for_I 45_C minute_N
hand.n_1	0331	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	End Gene Raesz , who broke a hand in the Owl 's game with LSU , was back working out with Rice Monday , and John Nichols , sophomore guard , moved back into action after a week 's idleness with an ankle injury .	end gene raesz who break a hand in the owl 's game with lsu be back work out with rice monday and john nichols sophomore guard move back into action after a week 's idleness with an ankle injury	end_N gene_N raesz_N who_W break_V a_D hand_N in_I the_D owl_N 's_P game_N with_I lsu_N be_V back_R work_V out_V with_I rice_N monday_N and_C john_N nichols_N sophomore_N guard_N move_V back_V into_I action_N after_I a_D week_N 's_P idleness_N with_I an_D ankle_N injury_N
find.v_3	0336	find	v	line_up.v.02	get something or somebody for a specific purpose	Buffalo coach Buster Ramsey , who has become one of the game 's greatest collectors of quarterbacks , apparently now has found a productive pair in two ex National Football Leaguers , M. C. Reynolds and Warren Rabb .	buffalo coach buster ramsey who have become one of the game 's great collector of quarterback apparently now have find a productive pair in two ex national football leaguers m. c. reynolds and warren rabb	buffalo_N coach_N buster_N ramsey_N who_W have_V become_V one_J of_I the_D game_N 's_P great_J collector_N of_I quarterback_N apparently_R now_R have_V find_V a_D productive_J pair_N in_I two_J ex_J national_N football_N leaguers_N m._N c._N reynolds_N and_C warren_N rabb_N
run.v_6	0361	run	v	run.v.24	make without a miss	It was Nischwitz ' third straight victory of the new season and ran the Grizzlies ' winning streak to four straight .	it be nischwitz third straight victory of the new season and run the grizzlies winning streak to four straight	it_P be_V nischwitz_N third_J straight_J victory_N of_I the_D new_J season_N and_C run_V the_D grizzlies_N winning_N streak_N to_T four_N straight_J
open.v_2	0366	open	v	open.v.02	start to operate or function or cause to start operating or functioning	Dick McAuliffe cracked the first of his two doubles against Lefty Don Rudolph to open the Bear 's attack .	dick mcauliffe crack the first of his two double against lefty don rudolph to open the bear 's attack	dick_N mcauliffe_N crack_V the_D first_J of_I his_P two_J double_N against_I lefty_N don_N rudolph_N to_T open_V the_D bear_N 's_P attack_N
run.v_7	0416	run	v	run.v.01	move fast by using one's feet, with one foot off the ground at any given time	I can't run .	i can't run	i_P can't_M run_V
